基金名稱,類型,幣別,群益金鼎證券,兆豐證券,國泰證券,永豐金證券,康和證券,好好證券,元大證券,容海投顧,華南永昌證券,遠智證券,鉅亨投顧,新光投信,宏利投信,基富通證券,凱基證券,台銀證券,統一證券,台新證券,安睿宏觀投顧,富邦證券,日盛證券,元富證券,合庫證券,中租投顧,台新投信,柏瑞投信,核聚投顧
野村愛爾蘭-日本策略價值基金,前收累積,美元,NU009,IE00B86L5Z,X,"74C0007T(台幣申購)
74C0007U(美元申購)",X,●,WMF003546,V,X,X,B72012,X,X,109006,IE00B86L5Z,X,"T14020TN(台幣申購)
T14020UN(美元申購)",IR07,X,FM170002,109006,"FI37006T(台幣)
FI37006U(外幣)",X,●,●,X,X
野村愛爾蘭-日本策略價值基金,前收累積,美元避險,NU011,IE00BF4KRW,X,"74C0008T(台幣申購)
74C0008U(美元申購)",X,●,WMF003547,V,X,X,B72014,X,X,109007,IE00BF4KRW,X,"T14006TN(台幣申購)
T14006UN(美元申購)",IR08,X,FM170003,109007,"FI37007T(台幣)
FI37007U(外幣)",X,8898,●,X,X
野村愛爾蘭-日本策略價值基金,前收累積,日圓,NU010,IE00BF4KRV,X,"◎74C0006T(台幣申購)
◎74C0006J(日圓申購)",X,●,WMF003545,V,X,X,B72013,X,X,109005,IE00BF4KRV,X,"T14005TN(台幣申購)
T14005JN(日圓申購)",IR06,X,FM170001,109005,"FI37005T(台幣)
FI37005U(外幣)",X,8897,●,X,X
野村愛爾蘭-日本策略價值基金,後收累積,日圓,NU013B,IE000YV45H,X,"94B0005T(台幣申購)
94B0005J(日幣申購)",X,X,●,V,X,X,X,X,X,X,●,X,"T14B003TN(台幣申購)
T14B003JN(日圓申購)",●,X,FM650011,●,●,X,X,X,X,X
野村愛爾蘭-日本策略價值基金,後收累積,美元避險,NU012B,IE00BK9CWZ,X,"94B0002T(台幣申購)
94B0002U(美元申購)",X,X,●,V,X,X,X,X,X,X,00BK9CWZ55,X,"T14B004TN(台幣申購)
T14B004UN(美元申購)",●,X,FM650002,●,"FI67004T(台幣)
FI67004U(外幣)",X,X,X,X,X
野村愛爾蘭-全球非投資等級債券基金,前收累積,美元,NU015,IE00BJLMWK,X,"74C0010T(台幣申購)
74C0010U(美元申購)",X,●,WMF003706,V,X,X,B72023,X,X,109010,IE00BJLMWK,X,"T14010TN(台幣申購)
T14010UN(美元申購)",IR10,X,●,●,●,X,8891,●,X,X
野村愛爾蘭-全球非投資等級債券基金,前收月配,美元,NU016,IE00BJLMWJ,X,"74C0011T(台幣申購)
74C0011U(美元申購)",X,●,WMF003707,V,X,X,B72022,X,X,109009,IE00BJLMWJ,X,"T14008TM(台幣申購)
T14008UM(美元申購)",IR11,X,●,●,●,X,8890,●,X,X
野村愛爾蘭-全球非投資等級債券基金,前收月配,澳幣避險,NU017,IE00BJLMWL,X,"74C0012T(台幣申購)
74C0012A(澳幣申購)",X,●,WMF003708,V,X,X,B72024,X,X,109011,IE00BJLMWL,X,"T14009TM(台幣申購)
T14009AM(澳幣申購)",IR12,X,●,●,●,X,8892,●,X,X
野村愛爾蘭-全球非投資等級債券基金,後收月配,美元,NU018B,IE00BJLMWM,X,"94B0003T(台幣申購)
94B0003U(美元申購)",X,X,●,V,X,X,X,X,X,X,IE00BJLMWM,X,"T14B005TM(台幣申購)
T14B005UM(美元申購)",●,X,●,●,●,X,X,X,X,X
野村愛爾蘭-印度領先股票基金,前收累積,美元,NU014,IE00B84200,X,"74C0009T(台幣申購)
74C0009U(美元申購)",X,●,WMF003544,V,X,X,B72016,X,X,109008,IE00B8420,X,"T14007TN(台幣申購)
T14007UN(美元申購)",IR09,X,FM170004,109008,"FI37009T(台幣)
FI37009U(外幣)",X,8851,●,X,X
野村愛爾蘭-美國非投資等級債券基金,前收累積,美元,NU001,IE00BF4KRC,X,"74C0005T(台幣申購)
74C0005U(美元申購)",X,●,●,V,X,X,B72010,X,X,109013,IE00BF4KRC,X,"T14001TN(台幣申購)
T14001UN(美元申購)",IR03,X,FM170005,109002,"FI37002T(台幣)
FI37002U(外幣)",X,8853,●,X,X
野村愛爾蘭-美國非投資等級債券基金,前收累積,澳幣避險,NU002,IE00BF4KRB,X,"74C0004T(台幣申購)
74C0004A(澳幣申購)",X,●,●,V,X,X,B72008,X,X,109012,IE00BF4KRB,X,"T14002TN(台幣申購)
T14002AN(澳幣申購)",IR04,X,FM170007,109003,"FI37003T(台幣)
FI37003U(外幣)",X,●,●,X,X
野村愛爾蘭-美國非投資等級債券基金,前收月配,美元,NU003,IE00B8QHD7,X,"74C0001T(台幣申購)
74C0001U(美元申購)",X,●,WMF003435,V,X,X,B72002,X,X,109002,NUSHTDU,X,"T14003TM(台幣申購)
T14003UM(美元申購)",IR02,X,FM170006,109001,"FI37001T(台幣)
FI37001U(外幣)",X,8850,V,X,X
野村愛爾蘭-美國非投資等級債券基金,前收月配,日圓,●,IE000AW2YW,X,"74C0023T(台幣申購)
74C0023J(外幣申購)",X,●,●,X,X,X,B72065,X,X,●,000AW2YWQ6,X,"T14011TM(台幣申購)
T14011JM(日圓申購)",●,X,FM170014,●,●,X,8971,●,X,X
野村愛爾蘭-美國非投資等級債券基金,前收月配,日圓避險,●,IE000BELJG,X,"74C0024T(台幣申購)
74C0024J(外幣申購)",X,●,●,X,X,X,B72067,X,X,●,000BELJGJ4,X,"T14012TM(台幣申購)
T14012JM(日圓申購)",●,X,FM170015,●,●,X,8972,●,X,X
野村愛爾蘭-美國非投資等級債券基金,前收月配,澳幣,NU004,IE00B8J3FG,X,"74C0002T(台幣申購)
74C0002A(澳幣申購)",X,●,WMF003436,V,X,X,B72003,X,X,109001,NUSHTDA,X,"T14004TM(台幣申購)
T14004AM(澳幣申購)",IR01,X,●,●,●,X,8852,●,X,X
野村愛爾蘭-美國非投資等級債券基金,前收月配,澳幣避險,NU005,IE00BF4KRD,X,"74C0003T(台幣申購)
74C0003A(澳幣申購)",X,●,●,V,X,X,B72009,X,X,109014,IE00BF4KRD,X,"T14013TM(台幣申購)
T14013AM(澳幣申購)",IR05,X,FM170008,109004,"FI37004T(台幣)
FI37004U(外幣)",X,8899,●,X,X
野村愛爾蘭-美國非投資等級債券基金,前收月配,南非幣避險,NU006,IE000KNMHE,X,"74C0015T(台幣申購)
74C0015Z(南非幣申購)",X,●,●,X,X,X,B72046,X,X,109016,●,X,"T14014TM(台幣申購)
T14014ZM(南非幣申購)",IR18,X,FM170009,●,"FI37008T(台幣)
FI37008U(外幣)",X,8968,●,X,X
野村愛爾蘭-美國非投資等級債券基金,後收累積,美元,NU007B,IE000ZBSLG,X,"94B0006T(台幣申購)
94B0006U(美元申購)",X,X,●,X,●,X,X,X,X,X,●,X,"T14B002TN(台幣申購)
T14B002AN(美元申購)",●,X,FM650006,●,●,X,X,X,X,X
野村愛爾蘭-美國非投資等級債券基金,後收月配,美元,NU008B,IE00BF4KRG,X,"94B0001T(台幣申購)
94B0001U(美元申購)",X,X,●,V,●,X,X,X,X,X,NNIEB001,X,"T14B001TM(台幣申購)
T14B001UM(美元申購)",●,X,FM650001,●,"FI67005T(台幣)
FI67005U(外幣)",X,X,X,X,X
野村愛爾蘭-美國非投資等級債券基金,後收月配,日圓,●,IE000HES79,X,"94B0013T(台幣申購)
94B0013J(外幣申購)",X,X,●,X,X,X,X,X,X,X,000HES7928,X,X,●,X,FM650007,●,●,X,X,X,X,X
野村愛爾蘭-美國非投資等級債券基金,後收月配,日圓避險,●,IE000KAHA4,X,"94B0014T(台幣申購)
94B0014J(外幣申購)",X,X,●,X,X,X,X,X,X,X,000KAHA4N0,X,X,●,X,FM650008,●,●,X,X,X,X,X
野村愛爾蘭-全球多元收益債券基金,前收累積,美元,NU019,IE000PUA4N,X,"74B0013T(台幣申購)
74B0013U(美元申購)",X,●,●,X,X,X,B72029,X,X,109003,000PUA4N71,X,"T14015TN(台幣申購)
T14015UN(美元申購)",IR13,X,FM170010,●,"FI37010T(台幣)
FI37010U(外幣)",X,8893,X,X,X
野村愛爾蘭-全球多元收益債券基金,前收月配,美元,NU020,IE00096IKK,X,"74B0014T(台幣申購)
74B0014U(美元申購)",X,●,●,X,X,X,B72030,X,X,109004,00096IKKH4,X,"T14016TM(台幣申購)
T14016UM(美元申購)",IR14,X,FM170011,●,"FI37011T(台幣)
FI37011U(外幣)",X,8894,X,X,X
