基金名稱,類型,幣別,群益金鼎證券,兆豐證券,國泰證券,永豐金證券,康和證券,好好證券,元大證券,容海投顧,華南永昌證券,遠智證券,鉅亨投顧,新光投信,宏利投信,基富通證券,凱基證券,台銀證券,統一證券,台新證券,安睿宏觀投顧,富邦證券,日盛證券,元富證券,合庫證券,中租投顧,台新投信,柏瑞投信,核聚投顧
野村優質,前收累積,新臺幣,38,19330754A,1,140033,V,●,WMF000030,V,A11004,●,A32001,X,X,NOM015,115,●,A080004,X,V,DM120001 (信託平台),A32012,FD07001,X,32017,X,X,X
野村優質,TISA,新臺幣,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
野村優質,後收累積,新臺幣,,,,,,,,,,,,,,,,,,,,,,,,,,,
野村成長,前收累積,新臺幣,19,17146752,3,140050,V,●,WMF000031,V,A11005,●,A32004,X,X,NOM011,116,●,A080005,X,●,DM120002 (信託平台),A32013,FD07003,X,32012,X,X,X
野村平衡,前收累積,新臺幣,8,17602250,4,140081,V,●,WMF000032,V,A11038,●,A32005,X,X,NOM013,117,●,A080006,X,●,DM120003 (信託平台),A32014,FD07009,X,32014,X,X,X
野村平衡,TISA,新臺幣,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
野村ｅ科技,前收累積,新臺幣,1,18037937,5,140045,V,●,WMF000033,V,A11006,●,A32006,X,X,NOM014 ,118,●,A080007,X,●,DM120004 (信託平台),A32015,FD07007,X,32001,X,X,X
野村中小,前收累積,新臺幣,2,18488469A,7,140047,V,●,WMF000034,V,A11007,●,A32008,X,X,NOM003,119,●,A080008,X,●,DM120005 (信託平台),A32016,FD07005,X,32016,X,X,X
野村全球品牌,前收累積,新臺幣,13,14697373,8,140060,V,●,WMF000035,V,A11008,●,A32009,X,X,NOM010,120,●,A080009,X,V,DM120006 (信託平台),A32017,FD07022,X,32010,X,X,X
野村全球品牌,前收累積,美元,●,●,●,140135,●,●,●,V,●,●,●,X,X,NOM116,1238,●,●,X,●,DM120098 (信託平台),●,●,X,32011,X,X,X
野村全球品牌,後收累積,新臺幣,124,14697373C,●,42N021,●,●,●,V,●,●,●,X,X,●,1239,●,A08B008C,X,●,DM620007 (信託平台),●,FD65001,X,●,X,X,X
野村全球品牌,後收累積,美元,125,14697373D,●,42N022,●,●,●,V,●,●,●,X,X,●,1240,●,A08B008D,X,●,DM620008 (信託平台),●,FD65014,X,●,X,X,X
野村全球高股息,前收累積,新臺幣,18,94988015A,9,140063,V,●,WMF000036,V,A11009,●,A32010,X,X,NOM058,121,●,A080010,X,V,DM120007 (信託平台),A32018,FD07014,X,32097,X,X,X
野村全球高股息,前收累積,人民幣,75,94988015C,70,140065,●,●,WMF002264,V,●,●,A32072,X,X,NOM060,●,●,●,X,●,DM120055 (信託平台),A32072,●,X,32099,X,X,X
野村全球高股息,前收季配,新臺幣,17,94988015B,38,140064,V,●,WMF000058,V,A11010,●,A32036,X,X,NOM059,122,●,●,X,V,DM120027 (信託平台),A32019,FD07015,X,32098,X,X,X
野村全球高股息,前收季配,人民幣,76,94988015D,71,140066,●,●,WMF002265,V,●,●,A32073,X,X,NOM061,●,●,●,X,●,DM120056 (信託平台),A32071,●,X,32100,X,X,X
野村鑫平衡組合,前收累積,新臺幣,45,99364447A,11,140080,V,●,WMF000038,V,A11053,●,A32012,X,X,NOM063,124,●,A080012,X,●,●,A32021,FD07011,X,32101,X,X,X
野村全球不動產證券化,前收累積,新臺幣,10,21758780A,14,140067,V,●,WMF000040,V,A11013,●,A32015,X,X,NOM017,127,●,A080014,X,V,DM120011 (信託平台),A32024,FD07023,X,32019,X,X,X
野村全球不動產證券化,前收累積,人民幣,73,21758780C,72,140069,●,●,WMF002266,V,●,●,A32068,X,X,NOM019,●,●,●,X,●,DM120057 (信託平台),A32070,●,X,32021,X,X,X
野村全球不動產證券化,前收月配,新臺幣,9,21758780B,40,140068,V,●,WMF000060,V,A11014,●,A32035,X,X,NOM018,128,●,●,X,●,DM120029 (信託平台),A32025,FD07024,X,32020,X,X,X
野村全球不動產證券化,前收月配,人民幣,74,21758780D,73,140070,●,●,WMF002267,V,●,●,A32069,X,X,NOM020,●,●,●,X,●,DM120058 (信託平台),A32069,●,X,32022,X,X,X
野村亞太高股息,前收累積,新臺幣,21,48745964A,17,140029,V,●,WMF000042,V,A11015,●,A32018,X,X,NOM052,130,●,A080015,X,●,DM120012 (信託平台),A32026,FD07018,X,32076,X,X,X
野村亞太高股息  (暫停銷售),前收累積,人民幣,●,48745964C,●,◎140031,●,●,●,V,●,●,◎A32089,X,X,●,●,●,●,X,●,DM120076 (信託平台),●,●,X,●,X,X,X
野村亞太高股息,前收季配,新臺幣,20,48745964B,41,140030,V,●,WMF000061,V,A11016,●,A32037,X,X,NOM053,131,●,●,X,●,DM120030 (信託平台),A32027,FD07019,X,32077,X,X,X
野村亞太高股息  (暫停銷售),前收季配,人民幣,●,48745964D,●,◎140032,●,●,●,V,●,●,◎A32090,X,X,●,●,●,●,X,●,DM120077 (信託平台),●,●,X,●,X,X,X
野村台灣運籌,前收累積,新臺幣,7,988316,18,140049,V,●,WMF000043,V,A11017,●,A32002,X,X,NOM006,101,●,A080016,X,●,DM120013 (信託平台),A32001,FD07002,X,32004,X,X,X
野村鴻運,前收累積,新臺幣,42,968493,19,140048,V,●,WMF000044,V,A11018,●,A32007,X,X,NOM004,114,●,A080017,X,●,DM120014 (信託平台),A32045,FD07006,X,32002,X,X,X
野村環球,前收累積,新臺幣,39,01021518A,20,140027,V,●,WMF000045,V,A11019,●,A32013,X,X,NOM001,102,●,A080018,X,V,DM120015 (信託平台),A32002,FD07021,X,32005,X,X,X
野村環球,前收累積,美元,●,01021518C,●,●,●,●,WMF004308,V,●,●,A32105,X,X,NOM092,10236,●,A080018C,X,V,DM120090 (信託平台),A32095,FD07085,X,32007,X,X,X
野村環球,前收累積,人民幣,●,01021518B,86,140028,●,●,WMF004307,V,●,●,A32084,X,X,NOM002,10237,●,A080018B,X,●,DM120071 (信託平台),A32094,FD07086,X,32006,X,X,X
野村鴻利,前收累積,新臺幣,40,971103,21,140082,V,●,WMF000046,V,A11039,●,A32019,X,X,NOM005,103,●,A080019,X,●,DM120016 (信託平台),A32003,FD07010,X,32003,X,X,X
野村積極成長,前收累積,新臺幣,37,1031564,23,140051,V,●,WMF000048,V,A11020,●,A32021,X,X,NOM008 ,104,●,A080020,X,●,DM120018 (信託平台),A32004,FD07004,X,32008,X,X,X
野村貨幣市場,前收累積,新臺幣,25,92024520,25,140084,V,●,WMF000050,V,A11002,●,A32023,X,X,NOM057,106,●,A080001,X,●,DM120020 (信託平台),A32006,FD07030,V,32096,X,X,X
野村泰國,前收累積,新臺幣,22,20089404,27,140058,V,●,WMF000052,V,A11023,●,A32025,X,X,NOM016,108,●,A080023,X,●,DM120022 (信託平台),A32008,FD07028,X,32018,X,X,X
野村高科技,前收累積,新臺幣,23,17600534,28,140046,V,●,WMF000053,V,A11024,●,A32026,X,X,NOM012,109,●,A080024,X,●,DM120023 (信託平台),A32009,FD07008,X,32013,X,X,X
野村高科技,後收累積,新臺幣,,,,,,,,,,,,,,,,,,,,,,,,,,,
野村精選貨幣市場,前收累積,新臺幣,32,18479285,30,●,V,●,WMF000054,V,●,●,●,X,X,●,110,●,A080003,X,●,●,A32010,FD07031,V,32015,X,X,X
野村台灣高股息,前收累積,新臺幣,6,99973878,36,140043,V,●,WMF000056,V,A11025,●,A32033,X,X,NOM064,112,●,A080025,X,●,DM120025 (信託平台),A32011,FD07020,X,32102,X,X,X
野村台灣高股息,前收月配,新臺幣,●,●,●,●,V,●,●,V,●,●,●,X,X,NOM150,●,●,●,X,●,●,●,●,X,●,X,X,X
